Card Name,Colour(s),Subdomain(s),Type,Tier,Casting Cost,Upkeep Cost,Keywords,Effect,Flavor,Creation Status,Performance,Play / Pick Rate,OG Creator,Date Added,Last Tested
Phosphor,Red,Heat,Instant,2,2/2,N/A,Empower,"Deal 2 damage to a target. The next Heat or Freeze card you activate gains:

Empower 4: Deal 3 more damage.",,,No Data,0 / 0,Daniel,4/13/26,
Flash Draw,Red,Lightning,Instant,1,4,N/A,Draw,Draw 2.,,,"Neutral, Must Pick",6 / 7,Daniel,4/22/26,4/15/2026
Wrapping Briar,Green,Growth,Curse,2,1/1,4,DoT,"While this card is in play, deal 2 DoT to a target.",,,No Data,0 / 0,Ali,4/13/26,
Expunge,Green,Release,Instant,3,2/2/2,N/A,Bank,"Deal 6 damage to a target. 

Synergize Bank: All banks that can gain a token from this card activating gains an additional token.",,,No Data,0 / 1,Ali,4/13/26,
Take Cover,Yellow,Grip,Ward,2,2/2,2,"Hidden, Suppress, Self-Discard","Hidden

When a card deals 6 or less damage to you, you may Discard this card to Suppress that card.",,,No Data,0 / 0,Daniel,4/13/26,
Reverberate,Yellow,Vibration,Enchantment,3,2/2/3,2,"Quicken, Single, Resonance","Single

Resonance Vibration: Quicken all Vibration cards in your casting well.",,,No Data,0 / 0,Ali,4/13/26,
Bounceback,Yellow,Impact,Instant,2,2/2,N/A,"Empower, Return","Deal 3 damage to a target.

Empower 2: Return a card from their casting well.",,,No Data,2 / 2,Ali,4/13/26,
Blinding Light,Purple,Channeling,Instant,2,2/2,N/A,"Empower, Forced-Discard","Deal 4 damage to a target.

Empower 2: They must also Discard 1.",,,No Data,0 / 1,Ali,4/13/26,
Static Shock,Red,Lightning,Ward,2,2/2,2,Hidden,"Hidden

After someone's card deals 3 or less damage to you, deal 2 damage to them.",,,No Data,1 / 1,Daniel,4/13/26,
Angry Spirit,Purple,Channeling,Curse,2,2/2,2,Bank,"Bank Purple

At the start of upkeep phase, you may spend 1 token to permanently increase the upkeep cost of a concentration card in play by 1.",,,No Data,0 / 0,Daniel,4/13/26,
Buying Time,Purple,Divination,Ward,3,2/3/4,2,"Delay, Self-Discard","When someone's card activates, you may discard a card to Delay it. A card may not be delayed more than once in this way.",,,No Data,0 / 0,Noah,4/13/26,
Recycle,Green,Growth,Instant,1,3,N/A,"Self-Discard, Draw","Draw 1. You may Discard as many cards as you like. For each discarded, Draw 1.",,,No Data,1 / 1,Daniel,4/13/26,
Pillar of Light,Purple,Channeling,Instant,2,2/2,N/A,,"Deal 2 damage to a target 

The next card that damages you deals 2 less damage (minimum of 1).",,,No Data,0 / 1,Daniel,4/13/26,
Smoke and Mirrors,Blue,Illusion,Instant,1,3,N/A,"Reveal, Return",Reveal a card in your hand. Return a card of the same color on the field.,,,"Weak, Niche",1 / 2,Daniel,4/13/26,4/15/2026
Give and Take,Green,Draining,Instant,1,2,N/A,,"Deal 1 damage to yourself, and then 3 to a target.",,,No Data,2 / 2,Jade,4/13/26,
Emotional Distress,Blue,Sanity,Curse,2,1/1,4,DoT,"While this card is in play, deal 2 DoT to a target.",,,Neutral,0 / 1,Jade,4/13/26,4/15/2026
Burnout,Red,Heat,Instant,2,3/3,N/A,Self-Discard,"Discard any number of cards from your hand. Then, deal damage to a target equal to the number of cards you discarded.",,,Centralizing,1 / 2,Noah,4/13/26,4/15/2026
Whistle Wind,Yellow,Vibration,Instant,2,3/4,N/A,"Suppress, Delay, Heighten","Deal 2 damage to a target. Then, Suppress a card in their concentration circle or Delay one card in their casting well.

Heighten: Deal 1 more damage.",,,No Data,2 / 2,Noah,4/13/26,
Deathly Howl,Yellow,Vibration,Instant,2,2/2,N/A,,Deal 4 damage.,,,No Data,0 / 1,Noah,4/13/26,
Inhibitor,Orange,Chemical,Instant,2,3/2,N/A,"Suppress, Heighten","Deal 2 damage to a target. They must pay their total upkeep cost immediately.

Heighten: Suppress a card in the their concentration circle.",,,No Data,0 / 0,Noah,4/13/26,
Chaos Concoction,Orange,Chemical,Instant,2,3/3,N/A,Exert,"Deal damage equal to the number of Orange cards in your concentration circle + 1 to a target.

Exert: Deal 2 more damage. (The discarded card no longer is considered part of your concentration circle when calculating damage.)",,,No Data,0 / 0,Noah,4/13/26,
Chilly Breeze,Red,Freeze,Instant,1,2,N/A,Empower,"Deal 1 damage to a target and place a 0-Cost Counter on a Red card in your casting well.

Empower 1: Deal 1 more damage.",,,No Data,0 / 0,Noah,4/13/26,
Life Pool,Green,Growth,Enchantment,3,2/2/2,1,"Bank, Heal","Bank Green

During End phase, Heal equal to the number of tokens in this bank. Then, remove a token.",,,No Data,0 / 2,Noah,4/13/26,
Multitasker,Blue,Domination,Enchantment,3,2/3/4,2,,"While this card is in play, your casting well can hold an extra card.",,,No Data,1 / 2,Ali,4/13/26,4/22/2026
Regressing Vine,Green,Animation,Ward,2,3/3,2,"Bank, Return","Bank Green

When a card is activated, you may remove 4 tokens from this bank to Return it to the caster's hand instead.",,,No Data,1 / 2,Noah,4/13/26,
Heaven's Ray,Purple,Channeling,Instant,2,3/2,N/A,Upcast,"Deal 4 damage to a target.

Upcast: Deal 2 more damage.",,,No Data,0 / 0,Noah,4/13/26,
Cool Measures,Red,Freeze,Enchantment,3,4/3/3,0,Consequence,"During Draw Phase, draw an additional card and choose one of the drawn cards to discard after.

Consequence: Draw 3",,,No Data,0 / 1,Noah,4/13/26,
Forbearing Fatigue,Orange,Transmute,Instant,1,4,N/A,"Delay, Return","After activation, leave this card on the field. When another spell activates this round, you may invoke this card to Delay it. Discard this card afterwards. If you do not invoke this card by End Phase, return it to your hand.",,,"Weak, Splashable",1 / 1,Noah,4/13/26,4/15/2026
Radiant Cleanse,Purple,Channeling,Instant,2,1/3,N/A,"Upcast, Forced-Discard","Deal 3 damage to a target.

Upcast: Choose a Curse in the target's concentration circle. They must discard it.",,,No Data,0 / 1,Noah,4/13/26,
Counter Pulse,Yellow,Impact,Ward,1,5,1,"Single, Self-Discard","Single

Once per round when you take damage, you may discard a Yellow card from your hand to reduce it by 3.",,,No Data,0 / 0,Noah,4/13/26,
Final Blast,Yellow,Impact,Instant,3,2/3/4,N/A,Upcast,"Deal 8 damage to a target.

Upcast: Deal 3 more damage.",,,No Data,0 / 0,Noah,4/13/26,
Wrist Bind,Yellow,Grip,Instant,1,3,N/A,"Reveal, Delay","Reveal one card in the target's casting well. You may choose to Empower this card after Revealing.

Empower 4: Also Delay it. ",,,No Data,3 / 4,Noah,4/13/26,
Mind Over Matter,Blue,Sanity,Ward,2,1/1,0,Single,"Single

While this card is in play, the first time you take damage every round reduces your mana by the damage amount instead of your health.",,,No Data,0 / 0,Ali,4/13/26,
Ki Flurry,Green,Release,Instant,2,2/3,N/A,Heighten,"Deal 4 damage to a target.

Heighten: Deal 1 more damage.",,,No Data,1 / 2,Noah,4/13/26,
Regeneration,Orange,Transmute,Enchantment,2,3/3,2,Draw,"When you discard a card from your concentration circle, draw a card. If the discarded card is Orange, gain 3 mana.",,,No Data,0 / 1,Noah,4/13/26,4/15/2026
Push Forward,Yellow,Thrust,Enchantment,2,4/4,3,Upcast,"Every damaging yellow card you activate gains: Upcast: Deal 2 more damage.

If the card already has an Upcast, it will do 1 more damage alongside its Upcast effect.",,,No Data,0 / 0,Noah,4/13/26,
One with it All,Green,Growth,Ward,3,4/4/4,4,Single,"Single

At the beginning of each Draw Phase, declare a subdomain. You are immune to damage from that subdomain until the end of the round. You may not choose the same subdomain twice in a row.",,,No Data,0 / 1,Noah,4/13/26,
Instant Recall,Blue,Telepathy,Instant,1,2,N/A,Upcast,"Pick a Tier 1 Blue card from your archive. Pay its full casting cost and activate that card instantly.

Upcast: You may pick a Tier 2 Blue card instead.",,,"Strong, Niche",2 / 3,Ali,4/13/26,4/15/2026
Half Light,Purple,Soul,Instant,3,2/2/2,N/A,Exert,"Deal 6 damage to a target.

Exert: Instantly pay for and activate a Purple concentration card from your hand that is equal to or lower than the tier of the Exerted card.",,,No Data,0 / 0,Ali,4/13/26,
Echoing Roar,Yellow,Vibration,Instant,2,2/1,N/A,"Return, Chain","Deal 3 damage.

Chain Vibration: Return this card to your hand.",,,No Data,1 / 1,Ali,4/13/26,
Reconfigure,Orange,Transmute,Instant,2,2/2,N/A,Exert,"Deal 4 damage to a target.

Exert: Instantly pay for and activate an Orange concentration card from your hand that is the same tier as the Exerted card.",,,"Niche, Neutral",1 / 1,Ali,4/13/26,4/15/2026
Transference,Green,Release,Instant,2,3/3,N/A,"Exert, Bank, Draw","Draw 1. Gain one bank token you can place on any bank you have in play.

Exert: Deal 2 damage to a target. If you exerted a Bank with tokens in it, move the tokens to a different bank card you are concentrating on.",,,No Data,0 / 1,Ali,4/13/26,
Involuntary Repression,Blue,Domination,Instant,1,3,N/A,"Upcast, Suppress","Deal 1 damage to a target and Suppress a card in the target's concentration circle.

Upcast: Deal 3 more damage.",,,"Strong, Splashable",5 / 5,Ali,4/13/26,4/22/2026
Persisting Twist,Orange,Transmute,Instant,3,1/1/1,N/A,"Detonate, Return, Single, Synergize","Single

Detonate a target.

Synergize Orange: Return this card.",,,No Data,0 / 0,Noah,4/13/26,
Denting Blows,Yellow,Thrust,Enchantment,3,2/2/4,2,Empower,"Whenever you Empower a card, deal 2 damage to a target.",,,No Data,1 / 1,Daniel,4/13/26,
Concussion,Yellow,Impact,Instant,2,2/4,N/A,Empower,"Deal 3 damage to a target.

Empower 2: Deal 2 more damage.",,,No Data,1 / 2,Daniel,4/13/26,
Scare,Purple,Channeling,Ward,1,2,2,Hidden,"Hidden

After someone damages you, deal 1 damage to them. ",,,No Data,1 / 1,Daniel,4/13/26,
Chalice,Green,Animation,Enchantment,2,2/2,2,"Heal, Single","Single

When a different card Heals you, increase the healing by 1.",,,No Data,0 / 1,Daniel,4/13/26,
Everything Soup,Orange,Transmute,Enchantment,2,3/3,2,Self-Discard,"During the Upkeep Phase, you may Discard a card in your hand to gain 5 mana.",,,No Data,2 / 2,Daniel,4/13/26,4/15/2026
Shocking Current,Red,Lightning,Enchantment,2,3/3,2,"Draw, Self-Discard","During your Draw Phase, you may Discard a card to Draw 1.",,,No Data,0 / 1,Daniel,4/13/26,
Belladonna,Orange,Chemical,Curse,2,1/1,4,"DoT, Exert, Suppress","Deal 2 DoT to a target.

Exert: When this card is suppressed, you only pay half its upkeep cost and the target still takes 1 DoT.",,,No Data,1 / 1,Noah,4/13/26,4/15/2026
Regrowth,Green,Growth,Instant,2,3/3,N/A,"Heal, Empower","If you have taken damage this round, Heal 2.

Empower 2: Heal 4 instead.",,,No Data,1 / 1,Daniel,4/13/26,
Adrenaline Spike,Orange,Chemical,Enchantment,2,2/2,2,Heal,"The first time you deal damage during End Phase, Heal 1.",,,No Data,0 / 0,Daniel,4/13/26,
Reclaim Magic,Purple,Soul,Instant,2,2/3,N/A,Upcast,"Choose a card in your archive to add to your hand.

Upcast: You may activate the card immediately by paying its full casting cost.",,,No Data,1 / 2,Daniel,4/13/26,
Tectonic Shift,Yellow,Thrust,Enchantment,2,2/2,3,Empower,Tier 2 or lower Yellow cards that you activate gain Empower 2: Deal 2 damage to a target.,,,No Data,1 / 1,Daniel,4/13/26,
Tutoring,Blue,Illusion,Instant,2,3/3,N/A,Reveal,"Pick any card on the field and Reveal it if it hasn't been. If the chosen card has keywords, choose one, you may draw the first card with that keyword in its description from your deck and shuffle your deck afterwards.",,,"Strong, Splashable, Niche",2 / 3,Ali,4/22/26,4/15/2026
Id Nihilo,Purple,Channeling,Instant,1,3,N/A,"Suppress, Exert","Deal damage equal to the number of cards in the target's concentration circle and Suppress one of them.

Exert: Suppress another card of theirs.",,,No Data,1 / 1,Ali,4/13/26,
Amplify,Yellow,Vibration,Instant,1,1,N/A,"Draw, Self-Discard","Discard a card from your hand and draw from your deck the first card of the same color that is one tier higher than the discarded card. Afterwards, shuffle your deck.",,,No Data,2 / 2,Ali,4/13/26,
Ionize,Red,Lightning,Instant,1,3,N/A,,"When this card is activated or discarded from your hand, deal 2 damage to a target.",,,Strong,2 / 2,Daniel,4/13/26,
Ward Breaker,Purple,Soul,Instant,1,5,N/A,"Suppress, Forced-Discard","Choose a card in a target's concentration circle. If it is a Ward, apply Suppress 2 to it. If the ward is already suppressed, discard it instead.

Upcast: If the chosen card is a ward, it is immediately discarded.",,,"Niche, Splashable, Strong",1 / 2,Noah,4/13/26,4/15/2026
Creeping Frost,Red,Freeze,Ward,2,2/2,2,"Hidden, Delay, Self-Discard","Hidden

When someone damages you, you may Discard this card to inflict Delay 2 on a card in their casting well.",,,No Data,0 / 0,Jade,4/13/26,
Sucker Punch,Yellow,Impact,Instant,1,3,N/A,"Upcast, Reveal","Let a target Reveal a card in your hand. Deal 3 damage to them.

Upcast: Deal 2 damage to a target.",,,No Data,0 / 0,Daniel,4/13/26,
Vicious Volt,Red,Lightning,Instant,2,3/3,N/A,"Heighten, Draw","Deal 4 damage to a target.

Heighten: Draw 2.",,,No Data,3 / 5,Daniel,4/13/26,4/22/2026
Mind Spike,Blue,Telepathy,Instant,2,2/3,N/A,Reveal,Reveal a card in the target's hand. Deal 3 damage to that target.,,,No Data,1 / 1,Daniel,4/13/26,4/15/2026
Bolstering Light,Purple,Channeling,Enchantment,2,2/3,4,Draw,"During your Draw Phase, Draw an additional card.",,,"Weak, Splashable",2 / 2,Daniel,4/13/26,
Soul Map,Purple,Divination,Instant,2,2/3,N/A,"Reveal, Heighten","Reveal a card in the target's hand and deal 2 damage to them.

Heighten: Deal 2 more damage.",,,Neutral,2 / 2,Daniel,4/13/26,4/15/2026
Midas' Curse,Orange,Transmute,Ward,3,2/2/2,2,Suppress,"The first time an Enchantment or Curse card is activated each round, it is Suppressed and 2 damage is dealt to the caster.",,,No Data,0 / 0,Daniel,4/13/26,
Change Pace,Orange,Transmute,Instant,1,1,N/A,"Quicken, Delay","Quicken a card in your casting well and Delay another. If there are not two valid cards to target, nothing happens.",,,No Data,0 / 0,Noah,4/20/26,
Subtle Sedation,Orange,Chemical,Curse,2,3/4,3,,"While this card is in play, the target draws 1 less card during Draw Phase when you hold the priority token.",,,No Data,0 / 0,Noah,4/20/26,
Harnessed Energy,Red,,Enchantment,2,2/2,2,Synergize,"Delcare a Red subdomain. This card's subdomain becomes that subdomain. All damaging instant cards of the same subdomain as this card do 1 more damage.

Synergize Harnessed Energy x2: If you have 3 Harnessed Energy cards in play, each of a different subdomain, all damaging instant cards of their subdomains do double damage instead.",,Concept Demo,No Data,1 / 2,Noah,4/20/26,4/22/2026
Conjure Cauldron,Orange,Conjuration,Enchantment,1,2,0,Resonance,"During End Phase, gain 1 mana.

Resonance Chemical: The activated card deals 2 extra damage.",,Concept Demo,No Data,0 / 0,Daniel,4/20/26,
Throat Spray,Yellow,Vibration,Enchantment,1,3,0,Resonance,Resonance Yellow: Gain 2 mana.,,Concept Demo,No Data,2 / 2,Daniel,4/27/26,
Compact Correction,Yellow,Grip,Ward,2,2/1,2,"Resonance, Suppress","When a card in your concentration circle is the target of a Suppress, permanently Suppress this card instead.

Resonance Yellow: If this card is suppressed, unsuppress it. This effect can be invoked even if this card is suppressed.",,Concept Demo,No Data,1 / 1,Noah,4/27/26,
Nerve Shock,Red,Lightning,Instant,2,2/2,N/A,"Forced-Discard, Chain","Deal 3 damage to a target.

Chain Lightning: The target Discards 1.",,Concept Demo,No Data,1 / 1,Noah,4/29/26,
Blood Transfuser,Green,Draining,Instant,2,0/1,N/A,"Heal, Catalyst","Deal 2 damage to a target and Heal 1.

Draining Augment: Instead, Heal the caster equal to the damage dealt.",,Concept Demo,No Data,2 / 2,Ali,4/29/26,
Potential Energy,Yellow,Grip,Enchantment,2,2/2,1,Quicken,"While this card is in play, reduce your casting well slots by 1. At the beginning of Adjudication Phase, all cards in your casting well are Quickened.",,,No Data,1 / 1,Ali,4/29/26,
Tithe,Purple,Channeling,Instant,2,2/2,N/A,Forced-Discard,"A target Discards 2. 

Material Diamond: Discard 4 instead.",,Concept Demo,No Data,0 / 0,Noah,4/29/26,
Black Pearl,Purple,Channeling,Instant,3,0/1/2,N/A,"Upcast, Exert, Heighten, Empower, Catalyst","Deal 5 damage to a target and gain 4 mana.

Channeling Augment: Instead, invoke one of the attached card's Upcast, Exert, Heighten, or Empower effects automatically.",,Concept Demo,No Data,1 / 1,Ali,4/29/26,
Efficient Cast,Yellow,Thrust,Enchantment,2,3/3,0,"Quicken, 0-Cost Counter","When a Yellow card in your casting well is Quickened, place a 0-Cost Counter on it.",,,No Data,1 / 1,Noah,4/29/26,
Unaware Puppeteer,Purple,Soul,Ward,2,2/2,1,"Suppress, Draw, Self-Discard","Whenever a card in your concentration circle is Suppressed, Draw 2. You may Discard both drawn cards to stop the Suppression.",,,No Data,0 / 0,Ali,5/25/26,
Divine the Stars,Purple,Divination,Instant,1,5,N/A,Draw,Choose a Subdomain. Draw the first card of that Subdomain from your deck and shuffle your deck afterwards.,,,No Data,0 / 0,Daniel,5/25/26,
The Brink of Madness,Blue,Sanity,Instant,2,3/4,N/A,Synergize,"The target must shuffle their hand into their codex, then draw up to the number of cards they previously had in their hand.

Synergize Blue: They target draws one less card after shuffling.",,,No Data,0 / 0,Noah,5/25/26,
Humming Harm,Yellow,Vibration,Instant,1,3,N/A,Synergize,"Deal 2 damage.

Synergize Vibration: The activation cost of this spell is 0.",,,No Data,0 / 0,Noah,5/25/26,
